,Communalities
1　 個性的で少し変わった人と関わるのは少し怖い。,0.26803511688948745
2　 自分の行動が愚かだと感じることがある。,0.2986660469036528
3　 簡単に腹を立てる。,0.5761775603729803
4　 落ち込むことが多い。,0.48494849436538323
5　 めったに感情的にならない。,0.45318369829741284
6　 自分の長所を自慢することがある。,0.32360228409554037
7　 世間の常識とは違うことをする人が好きだ。,0.32973922577309017
8　 後先を考えずに行動することがある。,0.3478234105110354
9　 怒ることはめったにない。,0.5809615456872236
10　 ほとんどの時間、健康的で活力を感じる。,0.2744743582624601
11　 他の人の不幸に深く心を動かされる。,0.11578399424197239
12　 他の人よりも権力を持ちたいと思うことがある。,0.23214699631554986
13　 直感的なひらめきが急に訪れることはほとんどない。,0.2812911631239267
14　 細かく管理せず、成り行きに任せるのが好きだ。,0.2983854322759292
15　 論理的に説明されても、納得しにくい。,0.1558714985200936
16　 他人と一定の距離を取る。,0.25787189181709225
17　 他人に好かれたいと思っている。,0.27342189416563956
18　 自分の利益を最優先する。,0.18013775024981707
19　 新しいアイデアを考えるのが大好きだ。,0.40584851786443354
20　 完璧でない仕事には納得がいかない。,0.2895849103555327
21　 自分が整理したものを他人が変えるとイライラする。,0.2511575655739452
22　 グループに参加するのが楽しい。,0.45383971969861686
23　 頻繁に誰かの助けを必要とする。,0.24474328575982623
24　 社会的地位を求める。,0.2522635031126368
25　 何かを深く調べて探求することはないだろう。,0.2849178203475796
26　 始めた仕事にすぐ興味を失う。,0.2827768061265525
27　 人の欠点を指摘する。,0.3123123586291936
28　 あまり話すことがない。,0.5540285354452139
29　 すでに起こったことについては心配しない。,0.23035695186396923
30　 誰かをつい利用してしまっても、後悔しないだろう。,0.21636630049254257
31　 政治の議論を面白いと感じる。,0.23413129861634907
32　 仕事をうまくやり遂げるように心がけている。,0.27887081543670716
33　 相手が期待に応えてくれないとき、イライラして怒ることがある。,0.40631959713596777
34　 強い個性を持っている。,0.3285634108902383
35　 簡単にパニックになる。,0.31049523013696234
36　 ルールに従うように心がけている。,0.28920968652809564
37　 ダンスのパフォーマンスを観るのを楽しめない。,0.09410189563165795
38　 乱雑な状態が気にならない。,0.06247677749353033
